Title,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,totalSeasons
Teen Lust,"Jesse Carere, Daryl Sabara, Annie Clark, Jon Dore",N/A,N/A,Canada,N/A,Blaine Thurier,"Comedy, Horror, Romance",English,N/A,An awkward high school student strives to lose his virginity before his parents and their Satanic cult can sacrifice him to the devil.,https://images-na.ssl-images-amazon.com/images/M/MV5BMzY0NTg3NDc2OV5BMl5BanBnXkFtZTgwOTIzMzY2NjE@._V1_SX300.jpg,Entertainment One,R,"{'Source': 'Internet Movie Database', 'Value': '4.7/10'}",14 Aug 2015,True,80 min,movie,N/A,"Jason Stone, Blaine Thurier",2014,tt1718915,4.7,"1,271",
Scanner Cop,"Daniel Quinn, Darlanne Fluegel, Richard Grove, Mark Rolston",N/A,N/A,"USA, Canada, Germany",27 Jul 1994,Pierre David,"Horror, Sci-Fi",English,N/A,"Sam Staziak, a rookie cop with the Los Angeles Police Department, is also a 'scanner' (psionic). When a string of murders begins to decimate the police department, Sam faces sensory ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMjE0MzM3NjY4OV5BMl5BanBnXkFtZTYwNDY3NTc5._V1_SX300.jpg,Republic Pictures Home Video,R,"{'Source': 'Internet Movie Database', 'Value': '5.1/10'}",01 May 1994,True,95 min,movie,N/A,"John Bryant, David Cronenberg (characters), Pierre David (story), George Saunders",1994,tt0111082,5.1,903,
The Timber,"James Ransone, Elisa Lasowski, Mark Caven, William Gaunt",N/A,N/A,USA,N/A,Anthony O'Brien,"Action, Adventure, Drama",English,N/A,"In the wild west, two brothers embark on a journey to collect a bounty in a desperate attempt to save their home: but what they find along the way is more than they bargained for.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg5NjczMzA3Nl5BMl5BanBnXkFtZTgwODgyNjU1MzE@._V1_SX300.jpg,Ana Media,NOT RATED,"{'Source': 'Internet Movie Database', 'Value': '5.1/10'}",27 Feb 2015,True,81 min,movie,N/A,"Steve Allrich, Anthony O'Brien, Colin Ossiander",2015,tt2215673,5.1,"1,350",
Sriracha,"Randy Clemens, Jordan Crowder, Harold Dieterle, Oz du Soleil",N/A,N/A,"Thailand, USA",N/A,Griffin Hammond,"Documentary, Short, Biography",English,N/A,"Sriracha has earned a cult following, but the story of this spicy sauce is a mystery to most fans. Dedicated to Sriracha lovers, this documentary travels around the globe to reveal its origin and the man behind the iconic ""rooster sauce.""",https://images-na.ssl-images-amazon.com/images/M/MV5BMTM4MzM3MTIzNF5BMl5BanBnXkFtZTgwOTMzNDE0MDE@._V1_SX300.jpg,Janson Media,N/A,"{'Source': 'Internet Movie Database', 'Value': '7.5/10'}",11 Dec 2013,True,33 min,movie,http://srirachamovie.com/,Griffin Hammond,2013,tt2992302,7.5,387,
The Willies,"Sean Astin, Jason Horst, Joshua Miller, James Karen",N/A,N/A,USA,01 Apr 2008,Brian Peck,"Horror, Comedy",English,N/A,"Two brothers camping with their cousin try to frighten each other by telling stories. There are two main narrations: one involves strange happenings at an elementary school; the other, a ...",https://images-na.ssl-images-amazon.com/images/M/MV5BNTk4NjIzOTA5Ml5BMl5BanBnXkFtZTcwODczNTEyMQ@@._V1_SX300.jpg,Prism Entertainment,PG-13,"{'Source': 'Internet Movie Database', 'Value': '4.8/10'}",27 Dec 1990,True,92 min,movie,N/A,Brian Peck (screenplay),1990,tt0103268,4.8,"1,147",
Evil Things,"Laurel Casillo, Morgan Hooper, Torrey Weiss, Ryan Maslyn",N/A,N/A,USA,14 Nov 2011,Dominic Perez,"Horror, Mystery, Thriller",English,N/A,"On January 9, 2009, five college students left New York City for a weekend in the country. 48 hours later, all five students have simply vanished without a trace. There were no leads and no evidence - until now.",https://ia.media-imdb.com/images/M/MV5BMjEyMDE0NTA3Nl5BMl5BanBnXkFtZTcwODE0NzAzOA@@._V1_SX300.jpg,Inception Media Group,R,"{'Source': 'Internet Movie Database', 'Value': '4.2/10'}",11 Jul 2011,True,86 min,movie,http://www.evilthingsmovie.com,Dominic Perez,2009,tt1413527,4.2,"1,412",
Last Shift,"Juliana Harkavy, Joshua Mikel, Hank Stone, J. LaRose",2 wins & 1 nomination.,N/A,USA,06 Oct 2015,Anthony DiBlasi,"Horror, Mystery, Thriller",English,N/A,A rookie cop's 1st shift alone in the last night of a closing police station turns into a living nightmare.,https://images-na.ssl-images-amazon.com/images/M/MV5BZmFjMmMxMzYtMzU3NC00YWZlLWExMjktNmU5OTZjYTQ4MjQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,N/A,R,"{'Source': 'Internet Movie Database', 'Value': '5.8/10'}",06 Oct 2015,True,90 min,movie,N/A,"Anthony DiBlasi, Scott Poiley",2014,tt2965466,5.8,"12,712",
Last Shift,"Juliana Harkavy, Joshua Mikel, Hank Stone, J. LaRose",2 wins & 1 nomination.,N/A,USA,06 Oct 2015,Anthony DiBlasi,"Horror, Mystery, Thriller",English,N/A,A rookie cop's 1st shift alone in the last night of a closing police station turns into a living nightmare.,https://images-na.ssl-images-amazon.com/images/M/MV5BZmFjMmMxMzYtMzU3NC00YWZlLWExMjktNmU5OTZjYTQ4MjQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,N/A,R,"{'Source': 'Rotten Tomatoes', 'Value': '100%'}",06 Oct 2015,True,90 min,movie,N/A,"Anthony DiBlasi, Scott Poiley",2014,tt2965466,5.8,"12,712",
The Immortal Voyage of Captain Drake,"Adrian Paul, Temuera Morrison, Wes Ramsey, Daniel Kash",N/A,N/A,"Bulgaria, USA",N/A,David Flores,"Adventure, Fantasy",English,N/A,"""1592. Four years after England's defeat of the Spanish Armada, tensions still run deep, especially between Sir Francis Drake, ""The Queen's Pirate"", and his lifelong nemesis, Captain Don ...",https://images-na.ssl-images-amazon.com/images/M/MV5BZjg2MDg2YTItYTQ0NC00NDJlLTg1ODUtODg0MDhjYjQ4YjE3XkEyXkFqcGdeQXVyNDUxNjc5NjY@._V1_SX300.jpg,Syfy,N/A,"{'Source': 'Internet Movie Database', 'Value': '4.3/10'}",17 Jan 2009,True,86 min,movie,N/A,Rafael Jordan,2009,tt1129410,4.3,506,
Suck Me Shakespeer 2,"Elyas M'Barek, Jella Haase, Karoline Herfurth, Katja Riemann",4 wins & 1 nomination.,N/A,Germany,N/A,Bora Dagtekin,Comedy,"German, English, Thai",N/A,Mr. Müller and his class are taking a school trip to Thailand to strengthen the reputation of their school.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA1MDcwMTA0Ml5BMl5BanBnXkFtZTgwNTI1MjY5NTE@._V1_SX300.jpg,N/A,N/A,"{'Source': 'Internet Movie Database', 'Value': '6.1/10'}",10 Sep 2015,True,115 min,movie,N/A,Bora Dagtekin,2015,tt3702996,6.1,"7,935",
Pay the Ghost,"Nicolas Cage, Sarah Wayne Callies, Veronica Ferres, Lyriq Bent",1 win & 2 nominations.,N/A,Canada,N/A,Uli Edel,"Drama, Horror, Mystery","English, Spanish, Chinese, Scottish Gaelic",23,A professor frantically searches for his son who was abducted during a Halloween parade.,https://ia.media-imdb.com/images/M/MV5BMzY3MTc3NzQ1Nl5BMl5BanBnXkFtZTgwNjk2MDE3NjE@._V1_SX300.jpg,Voltage Films,NOT RATED,"{'Source': 'Internet Movie Database', 'Value': '5.2/10'}",25 Sep 2015,True,94 min,movie,N/A,"Tim Lebbon (novel), Dan Kay (screenplay)",2015,tt3733778,5.2,"12,541",
Pay the Ghost,"Nicolas Cage, Sarah Wayne Callies, Veronica Ferres, Lyriq Bent",1 win & 2 nominations.,N/A,Canada,N/A,Uli Edel,"Drama, Horror, Mystery","English, Spanish, Chinese, Scottish Gaelic",23,A professor frantically searches for his son who was abducted during a Halloween parade.,https://ia.media-imdb.com/images/M/MV5BMzY3MTc3NzQ1Nl5BMl5BanBnXkFtZTgwNjk2MDE3NjE@._V1_SX300.jpg,Voltage Films,NOT RATED,"{'Source': 'Rotten Tomatoes', 'Value': '10%'}",25 Sep 2015,True,94 min,movie,N/A,"Tim Lebbon (novel), Dan Kay (screenplay)",2015,tt3733778,5.2,"12,541",
Pay the Ghost,"Nicolas Cage, Sarah Wayne Callies, Veronica Ferres, Lyriq Bent",1 win & 2 nominations.,N/A,Canada,N/A,Uli Edel,"Drama, Horror, Mystery","English, Spanish, Chinese, Scottish Gaelic",23,A professor frantically searches for his son who was abducted during a Halloween parade.,https://ia.media-imdb.com/images/M/MV5BMzY3MTc3NzQ1Nl5BMl5BanBnXkFtZTgwNjk2MDE3NjE@._V1_SX300.jpg,Voltage Films,NOT RATED,"{'Source': 'Metacritic', 'Value': '23/100'}",25 Sep 2015,True,94 min,movie,N/A,"Tim Lebbon (novel), Dan Kay (screenplay)",2015,tt3733778,5.2,"12,541",
10-eok,"Jae-ho Baek, Seo-wu Choi, Seo-eun Han, Matt Hodgkinson",N/A,N/A,South Korea,N/A,Min-ho Cho,Thriller,Korean,N/A,Eight young people try to survive a deadly game show for the million-dollar prize.,https://images-na.ssl-images-amazon.com/images/M/MV5BOTY0NDQxNmYtMGUxYS00MGM2LWI0ZTEtYmMxZDg5MTk1NDJmXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX300.jpg,N/A,N/A,"{'Source': 'Internet Movie Database', 'Value': '5.5/10'}",06 Aug 2009,True,114 min,movie,N/A,Min-ho Cho,2009,tt1535419,5.5,386,
A Song of Lisbon,"Vasco Santana, Beatriz Costa, António Silva, Teresa Gomes",N/A,N/A,Portugal,N/A,José Cottinelli Telmo,"Comedy, Musical",Portuguese,N/A,"How happy and proud they are those two ladies back in their Tras-os-Montes region! Thanks to them, their bright nephew can study medicine in Lisbon and may already have become a physician. ...",http://ia.media-imdb.com/images/M/MV5BYmRmMjU0M2YtMzllZC00MjE3LWI3OTQtMTAyZjcxMjg3MGFlXkEyXkFqcGdeQXVyMjUyMTE3MTc@._V1_SX300.jpg,N/A,N/A,"{'Source': 'Internet Movie Database', 'Value': '7.8/10'}",07 Nov 1933,True,85 min,movie,N/A,José Cottinelli Telmo,1933,tt0023871,7.8,887,
Un mundo cuadrado,"Samuel Galiardo, Jesús Carroza, Rocío Peláez, Juanfra Juárez",N/A,N/A,Spain,N/A,Álvaro Begines,N/A,Spanish,N/A,A lost village. A rock band. A murder in the woods. The world is about to change.,N/A,N/A,N/A,"{'Source': 'Internet Movie Database', 'Value': '6.3/10'}",25 Nov 2011,True,N/A,movie,N/A,"Álvaro Begines, Miguel A. Carmona",2011,tt1654082,6.3,39,
Catch Me Daddy,"Sameena Jabeen Ahmed, Conor McCarron, Gary Lewis, Barry Nunney",2 wins & 6 nominations.,N/A,UK,N/A,Daniel Wolfe,"Drama, Thriller","English, Urdu",64,"Laila, a girl on the run from her family is hiding out in West Yorkshire with her drifter boyfriend Aaron. When her brother arrives in town with a gang of thugs in tow, she is forced to flee for her life and faces her darkest night.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTc2NjM4NTE0OF5BMl5BanBnXkFtZTgwMTIzNTM5MjE@._V1_SX300.jpg,Oscilloscope Pictures,R,"{'Source': 'Internet Movie Database', 'Value': '6.3/10'}",27 Feb 2015,True,112 min,movie,http://www.oscilloscope.net/films/film/121/Catch-Me-Daddy,"Daniel Wolfe, Matthew Wolfe",2014,tt2626964,6.3,"1,136",
Catch Me Daddy,"Sameena Jabeen Ahmed, Conor McCarron, Gary Lewis, Barry Nunney",2 wins & 6 nominations.,N/A,UK,N/A,Daniel Wolfe,"Drama, Thriller","English, Urdu",64,"Laila, a girl on the run from her family is hiding out in West Yorkshire with her drifter boyfriend Aaron. When her brother arrives in town with a gang of thugs in tow, she is forced to flee for her life and faces her darkest night.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTc2NjM4NTE0OF5BMl5BanBnXkFtZTgwMTIzNTM5MjE@._V1_SX300.jpg,Oscilloscope Pictures,R,"{'Source': 'Rotten Tomatoes', 'Value': '91%'}",27 Feb 2015,True,112 min,movie,http://www.oscilloscope.net/films/film/121/Catch-Me-Daddy,"Daniel Wolfe, Matthew Wolfe",2014,tt2626964,6.3,"1,136",
Catch Me Daddy,"Sameena Jabeen Ahmed, Conor McCarron, Gary Lewis, Barry Nunney",2 wins & 6 nominations.,N/A,UK,N/A,Daniel Wolfe,"Drama, Thriller","English, Urdu",64,"Laila, a girl on the run from her family is hiding out in West Yorkshire with her drifter boyfriend Aaron. When her brother arrives in town with a gang of thugs in tow, she is forced to flee for her life and faces her darkest night.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTc2NjM4NTE0OF5BMl5BanBnXkFtZTgwMTIzNTM5MjE@._V1_SX300.jpg,Oscilloscope Pictures,R,"{'Source': 'Metacritic', 'Value': '64/100'}",27 Feb 2015,True,112 min,movie,http://www.oscilloscope.net/films/film/121/Catch-Me-Daddy,"Daniel Wolfe, Matthew Wolfe",2014,tt2626964,6.3,"1,136",
Saihate nite,"Hiromi Nagasaku, Nozomi Sasaki, Hiyori Sakurada, Miyoko Asada",2 wins & 4 nominations.,N/A,Japan,N/A,Hsiu-Chiung Chiang,Drama,Japanese,N/A,"Misaki returns to the hometown of his father, after he is reported to be dead. There she sets a coffee shop in the middle of the coast and a relationship with her neighbour Eriko and their children evolves.",https://images-na.ssl-images-amazon.com/images/M/MV5BMzA3YzQxNTMtOTlmNi00MjI5LTgwZGYtMDU4MTBiOTdkYzhiXkEyXkFqcGdeQXVyNTk0MjcyNDc@._V1_SX300.jpg,N/A,N/A,"{'Source': 'Internet Movie Database', 'Value': '7.0/10'}",01 Feb 2015,True,118 min,movie,N/A,Nako Kakinoki (screenplay),2014,tt3524792,7.0,105,
Flying Colours,"Kasumi Arimura, Nanami Abe, Morio Agata, Atsushi Itô",4 wins & 3 nominations.,N/A,Japan,N/A,Nobuhiro Doi,Drama,Japanese,N/A,"Story about a problematic blonde girl, Sayaka who knows nothing about academic but wants to enter one of the prestige university in Japan in just one year?",https://images-na.ssl-images-amazon.com/images/M/MV5BMzlhOWY0NjktYTI0Mi00NTZmLWIwNzEtNGVmMDcyMGM1NWQxXkEyXkFqcGdeQXVyNTg4NTI0MzQ@._V1_SX300.jpg,N/A,N/A,"{'Source': 'Internet Movie Database', 'Value': '7.4/10'}",01 May 2015,True,117 min,movie,N/A,"Hiroshi Hashimoto (screenplay), Nobutaka Tsubota (based on the novel by)",2015,tt4195368,7.4,"1,606",
"Davy Crockett, Indian Scout","George Montgomery, Ellen Drew, Phillip Reed, Noah Beery Jr.",N/A,N/A,USA,N/A,Lew Landers,"Adventure, Western",English,N/A,"Davy Crockett (not the famous Alamo hero, but his nephew) guides a wagon train through hostile territory and rescues the cavalry from ambushing Indians.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjExNzI1NTMyNV5BMl5BanBnXkFtZTgwOTQ2NDk2NjE@._V1_SX300.jpg,United Artists,APPROVED,"{'Source': 'Internet Movie Database', 'Value': '5.6/10'}",06 Jan 1950,True,71 min,movie,N/A,"Ford Beebe (story), Richard Schayer",1950,tt0042383,5.6,170,
Infinite,"Joanne Clendining, Brian Fifield, Nick Grock, Mark Kochanowicz",N/A,N/A,USA,N/A,Daniel Speers,"Short, Drama, Sci-Fi",English,N/A,Major Adam Fossy wakes from his frozen stasis aboard a ship in space and is faced with the fact that his mission to start things over on a new earth has failed.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIyMTI4OTA1NF5BMl5BanBnXkFtZTgwMjA5OTk1MjE@._V1_SX300.jpg,N/A,N/A,"{'Source': 'Internet Movie Database', 'Value': '7.7/10'}",26 Aug 2012,True,N/A,movie,N/A,Daniel Speers,2012,tt2456338,7.7,16,
The Brave Little Toaster to the Rescue,"Jessica Tuck, Chris Young, Roger Kabler, Deanna Oliver",N/A,N/A,USA,02 Sep 2003,Robert C. Ramirez,"Family, Adventure, Fantasy",English,N/A,The Brave Little Toaster and friends must rescue the animals at a veterinary hospital from being sent to a testing laboratory.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTIxNjMyOTI3OF5BMl5BanBnXkFtZTcwMzQxNjUyMQ@@._V1_SX300.jpg,Hyperion Pictures,NOT RATED,"{'Source': 'Internet Movie Database', 'Value': '6.3/10'}",24 May 1999,True,74 min,movie,N/A,"Willard Carroll (story and screenplay), Thomas M. Disch (characters), Joe Ranft (additional characters), Jerry Rees (additional characters)",1997,tt0163986,6.3,921,
The Brave Little Toaster to the Rescue,"Jessica Tuck, Chris Young, Roger Kabler, Deanna Oliver",N/A,N/A,USA,02 Sep 2003,Robert C. Ramirez,"Family, Adventure, Fantasy",English,N/A,The Brave Little Toaster and friends must rescue the animals at a veterinary hospital from being sent to a testing laboratory.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTIxNjMyOTI3OF5BMl5BanBnXkFtZTcwMzQxNjUyMQ@@._V1_SX300.jpg,Hyperion Pictures,NOT RATED,"{'Source': 'Rotten Tomatoes', 'Value': '40%'}",24 May 1999,True,74 min,movie,N/A,"Willard Carroll (story and screenplay), Thomas M. Disch (characters), Joe Ranft (additional characters), Jerry Rees (additional characters)",1997,tt0163986,6.3,921,
Macropolis,N/A,1 win & 2 nominations.,N/A,UK,N/A,Joel Simon,"Animation, Short",English,N/A,"Two toys discarded from a factory production line. Coming to life, they chase the factory delivery van in the hope of rejoining their friends.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjMwMTU4ODg2MF5BMl5BanBnXkFtZTcwMDMyMjIyOQ@@._V1_SX300.jpg,N/A,N/A,"{'Source': 'Internet Movie Database', 'Value': '7.0/10'}",05 Jul 2012,True,8 min,movie,N/A,"Ciaran Morrison, Mick O'Hara, Joel Simon",2012,tt2252388,7.0,64,
Oh Willy...,N/A,26 wins & 5 nominations.,N/A,"Belgium, France, Netherlands",N/A,"Emma De Swaef, Marc James Roels","Animation, Short, Adventure",None,N/A,"Forced to return to his naturist roots, Willy bungles his way into noble savagery.",https://images-na.ssl-images-amazon.com/images/M/MV5BOTE0OGRmYjktZmVlOC00OWYwLTk1MTEtMDk3YTdmMjNhY2FkXkEyXkFqcGdeQXVyNDUxNjc5NjY@._V1_SX300.jpg,N/A,N/A,"{'Source': 'Internet Movie Database', 'Value': '7.1/10'}",04 Apr 2013,True,17 min,movie,N/A,"Emma De Swaef, Marc James Roels",2012,tt2372335,7.1,262,
The Legend of 7 Cutter,"Jae-mo Ahn, Myeong-hun Cheon, Hyeon-yeong, Jun-ha Jeong",N/A,N/A,South Korea,N/A,Nam-ki Kwon,Comedy,Korean,N/A,"Han Jung Soo is the typical good guy, with friends and good at school. But due to some misunderstanding others mistake him with the legendary Seven Cutter and his life becomes really hard.",https://images-na.ssl-images-amazon.com/images/M/MV5BMDIyMWYzYzMtOTQwOS00MDFiLTk1NWYtZjg2MzYxMTEzMWExXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX300.jpg,N/A,N/A,"{'Source': 'Internet Movie Database', 'Value': '6.3/10'}",30 Mar 2006,True,100 min,movie,N/A,"Jeong Heo, In-ho Hwang, Nam-ki Kwon, Sang-ho Oh",2006,tt0798423,6.3,292,
Naked Under the Moon,"Klaudia Koronel, Joel Torre, Elizabeth Oropesa, Isabel Granada",3 nominations.,N/A,Philippines,N/A,Lav Diaz,Drama,"Filipino, Tagalog",N/A,"A priest estranged from the holy vows, marries Clara and starts raising a family. After several incidents, he becomes wracked with melancholia and wanders aimlessly, unable to come to terms with his personal truths.",https://images-na.ssl-images-amazon.com/images/M/MV5BNGNiYjVhMjgtOGE0NC00OWEyLTgzMGItYzAzMmM3OWMzYmQ4XkEyXkFqcGdeQXVyNTYyNzQ2MjY@._V1_SX300.jpg,N/A,N/A,"{'Source': 'Internet Movie Database', 'Value': '7.1/10'}",08 Sep 1999,True,110 min,movie,N/A,"Suzette Doctolero (story), Bong Ramos (story), Lav Diaz (story), Suzette Doctolero (screenplay), Bong Ramos (screenplay), Lav Diaz (screenplay)",1999,tt0277740,7.1,60,
